date,stars,forks,watchers,open_issues,open_prs,contributors,release_downloads,tauri_release_downloads
2026-09-14,4413,431,40,7,18,50,3188,75
2026-09-15,4414,430,40,6,12,50,3217,75
2026-09-16,4415,430,40,6,12,50,3267,75
2026-09-17,4417,431,40,6,13,50,3339,76
2026-09-18,4417,432,40,5,13,52,3387,76
2026-09-19,4418,433,40,5,11,52,3457,76
2026-09-20,4420,432,40,3,8,52,3571,76
2026-09-21,4419,435,40,3,14,52,3697,76
2026-09-22,4419,435,40,3,10,53,3744,76
2026-09-23,4420,436,40,9,18,53,3809,76
2026-09-24,4423,437,40,3,16,53,3895,76
2026-09-25,4427,439,40,3,20,53,4087,76
