date,downloads
2026-03-17,135
2026-03-18,1360
2026-03-19,985
2026-03-20,1063
2026-03-21,1065
2026-03-22,484
2026-03-23,1029
2026-03-24,2536
2026-03-25,1581
2026-03-26,545
2026-03-27,648
2026-03-28,302
2026-03-29,365
2026-03-30,1019
2026-03-31,947
2026-04-01,321
2026-04-02,519
2026-04-03,397
2026-04-04,105
2026-04-05,271
2026-04-06,131
2026-04-07,406
2026-04-08,196
2026-04-09,434
2026-04-10,119
2026-04-11,56
2026-04-12,19
2026-04-13,365
2026-04-14,43
2026-04-15,373
2026-04-16,1054
2026-04-17,1009
2026-04-18,469
2026-04-19,1315
2026-04-20,1925
2026-04-21,1433
2026-04-22,462
2026-04-23,1398
2026-04-24,532
2026-04-25,721
2026-04-26,1218
2026-04-27,1818
2026-04-28,600
2026-04-29,604
2026-04-30,831
2026-05-01,314
2026-05-02,735
2026-05-03,287
2026-05-04,580
2026-05-05,1356
2026-05-06,1012
2026-05-07,511
2026-05-08,1177
2026-05-09,1375
2026-05-10,555
2026-05-11,1097
2026-05-12,859
2026-05-13,58
2026-05-14,212
2026-05-15,194
2026-05-16,1025
2026-05-17,1234
2026-05-18,1029
2026-05-19,835
2026-05-20,627
2026-05-21,1479
2026-05-22,783
2026-05-23,691
2026-05-24,1361
2026-05-25,974
2026-05-26,231
2026-05-27,945
2026-05-28,924
2026-05-29,801
2026-05-30,900
2026-05-31,1013
2026-06-01,2543
2026-06-02,137
2026-06-03,58
2026-06-04,1011
2026-06-05,1788
2026-06-06,745
2026-06-07,58
2026-06-08,741
2026-06-09,197
2026-06-10,772
2026-06-11,567
2026-06-12,604
2026-06-13,2704
2026-06-14,908
2026-06-15,458
2026-06-16,1352
2026-06-17,1020
2026-06-18,486
2026-06-19,374
2026-06-20,809
2026-06-21,252
2026-06-22,561
2026-06-23,314
2026-06-24,809
2026-06-25,353
2026-06-26,233
2026-06-27,65
2026-06-28,278
2026-06-29,871
2026-06-30,681
2026-07-01,881
2026-07-02,1080
2026-07-03,1450
2026-07-04,3151
2026-07-05,826
2026-07-06,837
2026-07-07,120
2026-07-08,544
2026-07-09,713
2026-07-10,2609
2026-07-11,1924
2026-07-12,1200
2026-07-13,1914
2026-07-14,837
2026-07-15,2908
2026-07-16,1913
2026-07-17,1616
2026-07-18,851
2026-07-19,1299
2026-07-20,692
2026-07-21,1487
2026-07-22,1681
2026-07-23,838
2026-07-24,949
2026-07-25,1812
2026-07-26,520
2026-07-27,940
2026-07-28,1380
2026-07-29,605
2026-07-30,744
2026-07-31,2169
2026-08-01,1891
2026-08-02,584
2026-08-03,2029
2026-08-04,906
2026-08-05,1400
2026-08-06,2209
2026-08-07,380
2026-08-08,213
2026-08-09,1324
2026-08-10,2194
2026-08-11,1381
2026-08-12,2835
2026-08-13,2172
2026-08-14,888
2026-08-15,1586
2026-08-16,1419
2026-08-17,1918
2026-08-18,2455
2026-08-19,1962
2026-08-20,2747
2026-08-21,3523
2026-08-22,1972
2026-08-23,1709
2026-08-24,2268
2026-08-25,1610
2026-08-26,1213
2026-08-27,1622
2026-08-28,1324
2026-08-29,910
2026-08-30,1318
2026-08-31,1305
2026-09-01,1063
2026-09-02,1671
2026-09-03,926
2026-09-04,946
2026-09-05,577
2026-09-06,362
2026-09-07,993
2026-09-08,1167
2026-09-09,509
2026-09-10,552
2026-09-11,738
2026-09-12,311
2026-09-13,456
2026-09-14,1058
2026-09-15,821
